GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49,VD50,VD51,VD52,VD53,VD54,VD55,VD56,VD57,VD58,VD59,VD60,VD61,VD62,VD63,VD64,VD65,VD66,VD67,VD68,VD69,VD70,VD71,VD72,VD73
Id,Id2,Geography,Total:,Hispanic or Latino,Not Hispanic or Latino:,Not Hispanic or Latino: - Population of one race:,Not Hispanic or Latino: - Population of one race: - White alone,Not Hispanic or Latino: - Population of one race: - Black or African American alone,Not Hispanic or Latino: - Population of one race: - American Indian and Alaska Native alone,Not Hispanic or Latino: - Population of one race: - Asian alone,Not Hispanic or Latino: - Population of one race: - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: - Population of one race: - Some other race alone,Not Hispanic or Latino: - Population of two or more races:,Not Hispanic or Latino: - Population of two or more races: - Population of two races:,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - White; Black or African American,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - White; Asian,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - White; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - White; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - Black or African American; Asian,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - Black or African American; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - Black or African American; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - American Indian and Alaska Native; Asian,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - American Indian and Alaska Native; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - Asian; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races:,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; Black or African American; American Indian and Alaska Native,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; Black or African American; Asian,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; Black or African American; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; Black or African American; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; American Indian and Alaska Native; Asian,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; American Indian and Alaska Native; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; Asian; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - Black or African American; American Indian and Alaska Native; Asian,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - Black or African American; American Indian and Alaska Native; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - Black or African American; Asian; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - American Indian and Alaska Native; Asian; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - Asian; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races:,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; Black or African American; American Indian and Alaska Native; Asian,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; Black or African American; American Indian and Alaska Native; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; Black or African American; Asian; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; American Indian and Alaska Native; Asian; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - Black or African American; American Indian and Alaska Native; Asian; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of five races:,Not Hispanic or Latino: - Population of two or more races: - Population of five races: - White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of five races: - White; Black or African American; American Indian and Alaska Native; Asian; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of five races: - White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of five races: - White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of five races: - White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of five races: - Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of six races:,Not Hispanic or Latino: - Population of two or more races: - Population of six races: - White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race
1400000US18097310103,18097310103,"Census Tract 3101.03, Marion County, Indiana",6047,93,5954,5885,4736,836,3,295,0,15,69,65,11,12,25,1,2,0,3,0,1,0,0,0,9,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US18097310104,18097310104,"Census Tract 3101.04, Marion County, Indiana",3610,168,3442,3402,2901,390,3,101,0,7,40,29,7,7,5,0,8,1,0,0,1,0,0,0,0,0,0,10,6,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US18097310105,18097310105,"Census Tract 3101.05, Marion County, Indiana",3268,62,3206,3160,2318,735,6,87,0,14,46,39,14,2,9,0,2,6,3,0,0,0,0,0,1,2,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US18097310106,18097310106,"Census Tract 3101.06, Marion County, Indiana",3736,118,3618,3565,2833,608,5,108,5,6,53,47,17,4,4,1,10,2,0,1,5,3,0,0,0,0,0,6,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US18097310108,18097310108,"Census Tract 3101.08, Marion County, Indiana",3530,48,3482,3425,3144,142,2,134,0,3,57,54,11,3,17,0,7,0,1,0,4,1,0,0,4,6,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US18097310109,18097310109,"Census Tract 3101.09, Marion County, Indiana",6233,170,6063,5942,4405,1268,14,238,3,14,121,113,58,9,27,1,4,3,1,0,4,1,0,0,4,0,1,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US18097310201,18097310201,"Census Tract 3102.01, Marion County, Indiana",3719,141,3578,3515,2454,853,7,189,1,11,63,63,25,9,20,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US18097310202,18097310202,"Census Tract 3102.02, Marion County, Indiana",9540,511,9029,8857,4456,4029,25,308,1,38,172,161,80,13,17,0,9,10,5,0,19,1,0,0,0,7,0,10,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US18097310304,18097310304,"Census Tract 3103.04, Marion County, Indiana",9319,705,8614,8412,3874,4200,17,274,1,46,202,186,96,8,26,0,10,20,6,2,14,0,0,1,2,1,0,16,5,0,0,5,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
